Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Temporada,Liga,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,WHH,WHD,WHA
15/08/2025,Girona,Vallecano,1,3,A,2526,SP1,2.0,4.0,8.0,17.0,0.0,1.0,1.0,0.0,2.25,3.25,3.3,2.3,3.3,3.45,2.3,3.33,3.35,2.24,3.26,3.26,,,
15/08/2025,Villarreal,Oviedo,2,0,H,2526,SP1,10.0,1.0,10.0,8.0,1.0,2.0,0.0,1.0,1.4,4.75,8.0,1.41,4.76,8.8,1.4,5.1,8.5,1.38,4.74,8.11,,,
16/08/2025,Mallorca,Barcelona,0,3,A,2526,SP1,3.0,6.0,8.0,17.0,4.0,1.0,2.0,0.0,7.0,5.0,1.4,6.68,5.03,1.45,7.0,5.0,1.48,6.75,4.74,1.43,,,
16/08/2025,Alaves,Levante,2,1,H,2526,SP1,10.0,1.0,15.0,13.0,0.0,1.0,0.0,0.0,2.15,3.0,3.8,2.18,3.18,3.84,2.25,3.1,3.8,2.19,3.04,3.64,,,
16/08/2025,Valencia,Sociedad,1,1,D,2526,SP1,8.0,7.0,5.0,11.0,1.0,2.0,0.0,0.0,2.6,2.9,3.1,2.65,2.89,3.23,2.6,3.0,3.2,2.55,2.89,3.07,,,
17/08/2025,Celta,Getafe,0,2,A,2526,SP1,9.0,3.0,15.0,17.0,3.0,2.0,0.0,0.0,1.73,3.5,5.25,1.76,3.43,5.71,1.75,3.65,5.66,1.71,3.48,5.25,,,
17/08/2025,Ath Bilbao,Sevilla,3,2,H,2526,SP1,10.0,1.0,8.0,12.0,0.0,2.0,0.0,0.0,1.57,3.9,6.0,1.6,4.05,6.12,1.6,4.2,6.75,1.55,3.91,6.17,,,
17/08/2025,Espanol,Ath Madrid,2,1,H,2526,SP1,1.0,3.0,14.0,11.0,3.0,3.0,0.0,0.0,6.0,3.9,1.57,6.57,3.86,1.6,6.66,4.0,1.6,6.25,3.86,1.55,,,
18/08/2025,Elche,Betis,1,1,D,2526,SP1,1.0,3.0,14.0,13.0,0.0,1.0,0.0,0.0,3.4,3.3,2.2,3.45,3.43,2.21,3.4,3.4,2.2,3.33,3.27,2.17,,,
19/08/2025,Real Madrid,Osasuna,1,0,H,2526,SP1,7.0,0.0,10.0,12.0,1.0,0.0,0.0,1.0,1.22,6.25,13.0,1.23,6.99,12.34,1.23,7.0,15.0,1.2,6.66,13.16,,,
22/08/2025,Betis,Alaves,1,0,H,2526,SP1,5.0,2.0,10.0,17.0,2.0,3.0,0.0,0.0,1.91,3.4,4.2,1.92,3.45,4.6,1.91,3.5,4.5,1.88,3.38,4.37,,,
23/08/2025,Mallorca,Celta,1,1,D,2526,SP1,3.0,4.0,12.0,12.0,3.0,3.0,0.0,0.0,3.0,3.1,2.55,3.06,3.1,2.6,3.0,3.15,2.6,2.94,3.09,2.52,,,
23/08/2025,Ath Madrid,Elche,1,1,D,2526,SP1,10.0,2.0,14.0,7.0,0.0,3.0,0.0,0.0,1.25,5.25,15.0,1.24,6.28,12.89,1.25,6.0,15.0,1.24,5.74,12.91,,,
23/08/2025,Levante,Barcelona,2,3,A,2526,SP1,0.0,11.0,10.0,8.0,3.0,1.0,0.0,0.0,11.0,6.0,1.25,9.49,6.51,1.27,11.5,7.0,1.26,10.44,6.51,1.24,,,
24/08/2025,Osasuna,Valencia,1,0,H,2526,SP1,3.0,4.0,14.0,13.0,2.0,1.0,0.0,1.0,2.4,3.2,3.1,2.43,3.16,3.27,2.41,3.2,3.25,2.36,3.11,3.13,,,
24/08/2025,Sociedad,Espanol,2,2,D,2526,SP1,5.0,2.0,16.0,18.0,2.0,2.0,0.0,0.0,1.8,3.4,5.0,1.83,3.49,4.91,1.83,3.45,5.0,1.81,3.39,4.6,,,
24/08/2025,Villarreal,Girona,5,0,H,2526,SP1,8.0,1.0,8.0,9.0,1.0,2.0,0.0,0.0,1.53,4.33,6.0,1.53,4.69,5.77,1.55,4.5,6.0,1.52,4.28,5.69,,,
24/08/2025,Oviedo,Real Madrid,0,3,A,2526,SP1,1.0,9.0,8.0,7.0,2.0,1.0,0.0,0.0,9.5,5.5,1.3,10.02,5.5,1.32,11.0,5.6,1.33,9.67,5.24,1.3,,,
25/08/2025,Ath Bilbao,Vallecano,1,0,H,2526,SP1,3.0,6.0,13.0,13.0,0.0,4.0,0.0,0.0,1.7,3.5,5.5,1.71,3.68,5.56,1.75,3.7,5.5,1.69,3.55,5.18,,,
25/08/2025,Sevilla,Getafe,1,2,A,2526,SP1,5.0,3.0,10.0,24.0,2.0,2.0,0.0,0.0,2.25,3.0,3.6,2.24,3.12,3.75,2.3,3.1,3.6,2.25,2.99,3.46,,,
27/08/2025,Celta,Betis,1,1,D,2526,SP1,10.0,4.0,13.0,11.0,1.0,2.0,0.0,0.0,2.2,3.4,3.25,2.21,3.6,3.3,2.25,3.6,3.25,2.19,3.48,3.17,,,
29/08/2025,Elche,Levante,2,0,H,2526,SP1,4.0,2.0,14.0,17.0,1.0,2.0,0.0,0.0,2.15,3.25,3.5,2.23,3.26,3.66,2.2,3.25,3.6,2.17,3.19,3.52,,,
29/08/2025,Valencia,Getafe,3,0,H,2526,SP1,8.0,6.0,18.0,7.0,2.0,0.0,0.0,0.0,2.3,2.9,3.6,2.29,3.06,3.78,2.33,3.0,3.75,2.25,2.94,3.63,,,
30/08/2025,Alaves,Ath Madrid,1,1,D,2526,SP1,1.0,6.0,10.0,17.0,2.0,3.0,0.0,0.0,4.75,3.5,1.8,4.77,3.61,1.82,4.75,3.7,1.83,4.64,3.55,1.78,,,
30/08/2025,Oviedo,Sociedad,1,0,H,2526,SP1,1.0,10.0,7.0,18.0,2.0,1.0,0.0,0.0,3.5,3.1,2.25,3.56,3.12,2.32,3.6,3.2,2.28,3.47,3.1,2.23,,,
30/08/2025,Girona,Sevilla,0,2,A,2526,SP1,11.0,3.0,5.0,14.0,0.0,2.0,0.0,0.0,2.4,3.3,3.0,2.49,3.27,3.07,2.45,3.4,3.0,2.42,3.29,2.94,,,
30/08/2025,Real Madrid,Mallorca,2,1,H,2526,SP1,4.0,5.0,12.0,7.0,2.0,0.0,0.0,0.0,1.18,7.0,15.0,1.21,7.16,12.71,1.2,7.0,17.0,1.18,6.96,14.97,,,
31/08/2025,Celta,Villarreal,1,1,D,2526,SP1,1.0,5.0,11.0,8.0,1.0,1.0,0.0,0.0,2.75,3.5,2.5,2.76,3.64,2.52,2.75,3.6,2.5,2.71,3.53,2.43,,,
31/08/2025,Betis,Ath Bilbao,1,2,A,2526,SP1,4.0,10.0,9.0,16.0,1.0,4.0,0.0,1.0,3.0,3.1,2.55,3.07,3.15,2.56,3.1,3.25,2.55,2.95,3.15,2.46,,,
31/08/2025,Espanol,Osasuna,1,0,H,2526,SP1,2.0,3.0,13.0,14.0,2.0,3.0,0.0,0.0,2.38,3.2,3.1,2.43,3.21,3.23,2.4,3.2,3.25,2.34,3.15,3.09,,,
31/08/2025,Vallecano,Barcelona,1,1,D,2526,SP1,9.0,4.0,16.0,8.0,4.0,1.0,0.0,0.0,6.25,5.5,1.4,6.92,5.34,1.41,7.5,5.5,1.43,6.74,5.11,1.39,,,
12/09/2025,Sevilla,Elche,2,2,D,2526,SP1,2.0,2.0,23.0,19.0,4.0,3.0,0.0,0.0,1.85,3.4,4.5,1.88,3.48,4.76,1.88,3.5,4.6,1.85,3.4,4.47,,,
13/09/2025,Getafe,Oviedo,2,0,H,2526,SP1,4.0,3.0,12.0,18.0,2.0,5.0,0.0,1.0,1.95,3.1,4.5,2.0,3.05,4.81,2.05,3.3,4.75,1.96,3.06,4.45,,,
13/09/2025,Sociedad,Real Madrid,1,2,A,2526,SP1,12.0,4.0,17.0,7.0,2.0,1.0,0.0,1.0,5.0,4.33,1.6,5.3,4.43,1.61,5.75,4.33,1.63,5.25,4.17,1.59,,,
13/09/2025,Ath Bilbao,Alaves,0,1,A,2526,SP1,6.0,6.0,17.0,21.0,4.0,3.0,0.0,0.0,1.6,3.9,5.75,1.61,3.86,6.3,1.6,4.0,6.5,1.57,3.83,6.25,,,
13/09/2025,Ath Madrid,Villarreal,2,0,H,2526,SP1,8.0,3.0,12.0,15.0,2.0,4.0,0.0,0.0,1.8,3.7,4.33,1.86,3.62,4.51,1.85,4.1,4.75,1.81,3.7,4.28,,,
14/09/2025,Celta,Girona,1,1,D,2526,SP1,10.0,3.0,7.0,9.0,0.0,3.0,0.0,0.0,1.73,3.9,4.75,1.71,4.22,4.67,1.73,4.2,4.75,1.69,3.97,4.61,,,
14/09/2025,Levante,Betis,2,2,D,2526,SP1,4.0,12.0,16.0,11.0,3.0,2.0,0.0,0.0,3.25,3.25,2.3,3.4,3.48,2.21,3.33,3.45,2.33,3.18,3.26,2.25,,,
14/09/2025,Osasuna,Vallecano,2,0,H,2526,SP1,3.0,6.0,13.0,7.0,3.0,2.0,0.0,0.0,2.55,3.2,2.9,2.54,3.18,3.08,2.66,3.25,3.05,2.48,3.15,2.91,,,
14/09/2025,Barcelona,Valencia,6,0,H,2526,SP1,5.0,4.0,9.0,8.0,0.0,1.0,0.0,0.0,1.22,7.0,11.0,1.23,6.92,11.31,1.22,7.5,14.0,1.2,7.01,11.38,,,
15/09/2025,Espanol,Mallorca,3,2,H,2526,SP1,3.0,9.0,9.0,16.0,2.0,1.0,1.0,0.0,2.1,3.4,3.5,2.28,3.23,3.51,2.23,3.4,3.66,2.14,3.22,3.46,,,
19/09/2025,Betis,Sociedad,3,1,H,2526,SP1,3.0,5.0,7.0,20.0,3.0,7.0,0.0,0.0,1.91,3.6,3.75,1.93,3.73,3.98,1.95,3.7,4.0,1.93,3.6,3.8,,,
